competitor,dataset,mat_repr,M,N,K,NZ,total_ns,init_ns,comp_ns,cleanup_ns,correctness
GPU-Basic,RandomWithDensity,CSR,4000,4000,128,1600000,29664279,4602568,21815296,3229725,1
GPU-Basic,RandomWithDensity,COO,4000,4000,128,1600000,24672142,5963043,13752480,4885132,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,128,1600000,32917996,9132363,6300608,17481596,1
GPU-Shared,RandomWithDensity,CSR,4000,4000,128,1600000,12036839,7282958,1614848,3134547,1
GPU-Convert,RandomWithDensity,CSR,4000,4000,128,1600000,10489742,4439290,2931712,3115774,1
GPU-Basic,NIPS,CSR,11463,5811,128,4033830,278959800,9683711,262200320,7070558,1
GPU-Basic,NIPS,COO,11463,5811,128,4033830,54298989,12938249,31125952,10201044,1
GPU-PyTorch,NIPS,CSR,11463,5811,128,4033830,59501935,15309299,5317920,38871543,1
GPU-Shared,NIPS,CSR,11463,5811,128,4033830,21751380,9737654,4915200,7094336,1
GPU-Convert,NIPS,CSR,11463,5811,128,4033830,22965871,9691411,6179840,7088774,1
GPU-Basic,EMail-Enron,CSR,36692,36692,128,367662,174032537,9348099,163473888,1197588,1
GPU-Basic,EMail-Enron,COO,36692,36692,128,367662,16087669,9714028,3748736,2590206,1
GPU-PyTorch,EMail-Enron,CSR,36692,36692,128,367662,24743386,9395919,10945152,4399554,1
GPU-Shared,EMail-Enron,CSR,36692,36692,128,367662,24846596,9341832,14275584,1226848,1
GPU-Convert,EMail-Enron,CSR,36692,36692,128,367662,11457544,9391114,775808,1276270,1
GPU-Basic,ND12K,CSR,36000,36000,128,7128473,216227411,21000321,183009984,12204402,1
GPU-Basic,ND12K,COO,36000,36000,128,7128473,118286750,26615210,73834688,17779692,1
GPU-PyTorch,ND12K,CSR,36000,36000,128,7128473,116592587,31596704,17360448,67631561,1
GPU-Shared,ND12K,CSR,36000,36000,128,7128473,51639577,20866451,18069504,12700878,1
GPU-Convert,ND12K,CSR,36000,36000,128,7128473,44208542,20872282,10581440,12741919,1
GPU-Basic,HumanGene2,CSR,14340,14340,128,9041364,534229444,19608318,499644416,14971188,1
GPU-Basic,HumanGene2,COO,14340,14340,128,9041364,127485605,26903231,78764480,21775296,1
GPU-PyTorch,HumanGene2,CSR,14340,14340,128,9041364,130794095,32631152,12386144,85772316,1
GPU-Shared,HumanGene2,CSR,14340,14340,128,9041364,44053549,19509194,10009600,14531675,1
GPU-Convert,HumanGene2,CSR,14340,14340,128,9041364,49266762,19632221,15013888,14613626,1
GPU-Basic,RandomWithDensity,CSR,4000,4000,128,1600000,27994619,4471018,19452928,4067013,1
GPU-Basic,RandomWithDensity,COO,4000,4000,128,1600000,24009801,6021943,12267456,5648575,1
GPU-PyTorch,RandomWithDensity,CSR,4000,4000,128,1600000,20534426,6533910,2516256,11480548,1
GPU-Shared,RandomWithDensity,CSR,4000,4000,128,1600000,9195391,4592911,1513472,3086221,1
GPU-Convert,RandomWithDensity,CSR,4000,4000,128,1600000,10303765,4494856,2711552,3094235,1
GPU-Basic,Boeing,CSR,36000,36000,128,7128473,216409170,20902459,182871616,12626377,1
GPU-Basic,Boeing,COO,36000,36000,128,7128473,118458705,26680079,73776800,17944617,1
GPU-PyTorch,Boeing,CSR,36000,36000,128,7128473,116831994,31593145,17353792,67882032,1
GPU-Shared,Boeing,CSR,36000,36000,128,7128473,51022875,20969103,17942528,12107977,1
GPU-Convert,Boeing,CSR,36000,36000,128,7128473,44610521,21814592,10557504,12225240,1
GPU-Basic,Boeing Diagonal,CSR,52329,52329,128,1306247,63784019,14440187,45502656,3821536,1
GPU-Basic,Boeing Diagonal,COO,52329,52329,128,1306247,33393273,15443799,13999840,3865274,1
GPU-PyTorch,Boeing Diagonal,CSR,52329,52329,128,1306247,47564581,15820062,22233600,9508434,1
GPU-Shared,Boeing Diagonal,CSR,52329,52329,128,1306247,45288201,14921502,27630592,2733843,1
GPU-Convert,Boeing Diagonal,CSR,52329,52329,128,1306247,18799331,14419008,1589024,2772370,1
GPU-Basic,Stiffness,CSR,503712,503712,128,18645984,718616141,142078189,545224192,31237302,1
GPU-Basic,Stiffness,COO,503712,503712,128,18645984,405852351,157100987,202824736,45863383,1
GPU-PyTorch,Stiffness,CSR,503712,503712,128,18645984,2373525374,197246829,1966211456,210068334,1
GPU-Shared,Stiffness,CSR,503712,503712,128,18645984,3211827961,141274028,3039276032,31288442,1
GPU-Convert,Stiffness,CSR,503712,503712,128,18645984,467825722,142148294,294167168,31433412,1
GPU-Basic,Semi-conductor,CSR,1090664,1090664,128,32234285,3099742265,291642810,2753930496,54121127,1
GPU-Basic,Semi-conductor,COO,1090664,1090664,128,32234285,748674624,315786849,353385952,79422284,1
GPU-PyTorch,Semi-conductor,CSR,1090664,1090664,128,32234285,13464379974,390747596,12589270016,484413667,1
GPU-Shared,Semi-conductor,CSR,1090664,1090664,128,32234285,15488065740,289724075,15144165376,54241652,1
Largest relative difference is : 0.449441
[ GPU-Convert] !!! Wrong results calculated compared to CPU-Basic (CSR) !!!
GPU-Convert,Semi-conductor,CSR,1090664,1090664,128,32234285,1265881727,290342235,920061120,55421283,0
GPU-Basic,VLSI,CSR,1453908,1453908,128,28830019,1308458919,362127061,896314240,49974800,1
GPU-Basic,VLSI,COO,1453908,1453908,128,28830019,774039938,386295726,317218560,70445638,1
GPU-PyTorch,VLSI,CSR,1453908,1453908,128,28830019,23378080138,546953511,22501267456,329950857,1
GPU-Shared,VLSI,CSR,1453908,1453908,128,28830019,26842278983,361749684,26430789632,49849565,1
Largest relative difference is : 0.46407
[ GPU-Convert] !!! Wrong results calculated compared to CPU-Basic (CSR) !!!
GPU-Convert,VLSI,CSR,1453908,1453908,128,28830019,1162945546,364156533,748714944,50030029,0
